#  TESS Orbit and Sector times, created 2021-08-30 by roland
Sector,Orbit,Start UTC,End UTC,Start TJD,End TJD,Orbit Duration (days)
1,9,2018-07-25 19:35:00 UTC,2018-08-08 00:40:00 UTC,1325.31677,1338.52858,13.21
1,10,2018-08-09 03:50:00 UTC,2018-08-22 16:25:00 UTC,1339.66052,1353.18483,13.52
2,11,2018-08-23 14:35:00 UTC,2018-09-05 15:50:00 UTC,1354.10844,1367.16052,13.05
2,12,2018-09-07 02:25:00 UTC,2018-09-20 00:30:00 UTC,1368.60150,1381.52163,12.92
3,13,2018-09-21 05:25:00 UTC,2018-10-03 22:45:00 UTC,1382.72650,1395.44872,12.72
3,14,2018-10-05 04:00:00 UTC,2018-10-17 21:00:00 UTC,1396.66747,1409.37580,12.71
4,15,2018-10-19 09:45:00 UTC,2018-11-01 00:25:00 UTC,1410.90705,1423.51816,12.61
4,16,2018-11-02 01:20:00 UTC,2018-11-14 08:35:00 UTC,1424.55636,1436.85844,12.30
5,17,2018-11-15 11:35:00 UTC,2018-11-27 16:55:00 UTC,1437.98344,1450.20566,12.22
5,18,2018-11-29 01:20:00 UTC,2018-12-11 19:05:00 UTC,1451.55636,1464.29594,12.74
6,19,2018-12-12 17:05:00 UTC,2018-12-24 12:40:00 UTC,1465.21261,1477.02858,11.82
6,20,2018-12-25 14:40:00 UTC,2019-01-06 13:15:00 UTC,1478.11191,1490.05288,11.94
7,21,2019-01-08 03:10:00 UTC,2019-01-19 13:05:00 UTC,1491.63275,1503.04594,11.41
7,22,2019-01-21 04:55:00 UTC,2019-02-01 14:15:00 UTC,1504.70566,1516.09455,11.39
8,23,2019-02-02 20:20:00 UTC,2019-02-14 13:45:00 UTC,1517.34802,1529.07372,11.73
8,24,2019-02-15 18:20:00 UTC,2019-02-27 12:10:00 UTC,1530.26469,1542.00775,11.74
9,25,2019-02-28 17:20:00 UTC,2019-03-13 01:10:00 UTC,1543.22302,1555.54941,12.33
9,26,2019-03-14 05:30:00 UTC,2019-03-25 23:35:00 UTC,1556.72997,1568.48344,11.75
10,27,2019-03-26 22:30:00 UTC,2019-04-08 07:00:00 UTC,1569.43830,1581.79247,12.35
10,28,2019-04-09 06:25:00 UTC,2019-04-22 04:30:00 UTC,1582.76816,1595.68830,12.92
11,29,2019-04-23 06:40:00 UTC,2019-05-06 04:50:00 UTC,1596.77858,1609.70219,12.92
11,30,2019-05-07 06:45:00 UTC,2019-05-20 09:35:00 UTC,1610.78205,1623.90011,13.12
12,31,2019-05-21 10:55:00 UTC,2019-06-04 12:05:00 UTC,1624.95566,1639.00427,14.05
12,32,2019-06-05 12:55:00 UTC,2019-06-18 09:35:00 UTC,1640.03900,1652.90011,12.86
13,33,2019-06-19 10:05:00 UTC,2019-07-03 04:45:00 UTC,1653.92094,1667.69872,13.78
13,34,2019-07-04 03:00:00 UTC,2019-07-17 20:45:00 UTC,1668.62580,1682.36538,13.74
14,35,2019-07-18 20:30:00 UTC,2019-07-31 21:30:00 UTC,1683.35497,1696.39663,13.04
14,36,2019-08-01 20:15:00 UTC,2019-08-14 17:05:00 UTC,1697.34455,1710.21261,12.87
15,37,2019-08-15 20:45:00 UTC,2019-08-28 08:45:00 UTC,1711.36538,1723.86538,12.50
15,38,2019-08-29 10:35:00 UTC,2019-09-10 22:00:00 UTC,1724.94177,1737.41747,12.48
16,39,2019-09-12 03:40:00 UTC,2019-09-23 20:45:00 UTC,1738.65358,1750.36538,11.71
16,40,2019-09-25 03:45:00 UTC,2019-10-06 19:50:00 UTC,1751.65705,1763.32719,11.67
17,41,2019-10-08 04:25:00 UTC,2019-10-19 19:15:00 UTC,1764.68483,1776.30288,11.62
17,42,2019-10-21 05:30:00 UTC,2019-11-02 04:50:00 UTC,1777.72997,1789.70219,11.97
18,43,2019-11-03 03:45:00 UTC,2019-11-14 22:45:00 UTC,1790.65705,1802.44872,11.79
18,44,2019-11-15 22:45:00 UTC,2019-11-27 12:55:00 UTC,1803.44872,1815.03900,11.59
19,45,2019-11-28 14:00:00 UTC,2019-12-10 12:00:00 UTC,1816.08413,1828.00080,11.92
19,46,2019-12-11 11:10:00 UTC,2019-12-23 15:45:00 UTC,1828.96608,1841.15705,12.19
20,47,2019-12-25 00:05:00 UTC,2020-01-06 08:45:00 UTC,1842.50427,1854.86538,12.36
20,48,2020-01-07 21:30:00 UTC,2020-01-20 07:55:00 UTC,1856.39663,1868.83066,12.43
21,49,2020-01-21 22:25:00 UTC,2020-02-04 12:00:00 UTC,1870.43483,1884.00080,13.57
21,50,2020-02-05 10:10:00 UTC,2020-02-18 06:55:00 UTC,1884.92441,1897.78900,12.86
22,51,2020-02-19 19:20:00 UTC,2020-03-04 00:15:00 UTC,1899.30636,1912.51122,13.20
22,52,2020-03-05 01:45:00 UTC,2020-03-18 00:00:00 UTC,1913.57372,1926.50080,12.93
23,53,2020-03-19 14:30:00 UTC,2020-04-01 09:05:00 UTC,1928.10497,1940.87927,12.77
23,54,2020-04-02 08:05:00 UTC,2020-04-15 09:10:00 UTC,1941.83761,1954.88275,13.05
24,55,2020-04-16 07:05:00 UTC,2020-04-28 20:30:00 UTC,1955.79594,1968.35497,12.56
24,56,2020-04-29 18:30:00 UTC,2020-05-12 18:55:00 UTC,1969.27163,1982.28900,13.02
25,57,2020-05-14 03:10:00 UTC,2020-05-26 03:25:00 UTC,1983.63275,1995.64316,12.01
25,58,2020-05-27 10:00:00 UTC,2020-06-08 19:30:00 UTC,1996.91747,2009.31330,12.40
26,59,2020-06-09 18:25:00 UTC,2020-06-21 16:45:00 UTC,2010.26816,2022.19872,11.93
26,60,2020-06-22 14:45:00 UTC,2020-07-04 15:25:00 UTC,2023.11538,2035.14316,12.03
27,61,2020-07-05 18:40:00 UTC,2020-07-17 15:15:00 UTC,2036.27858,2048.13622,11.86
27,62,2020-07-18 15:40:00 UTC,2020-07-30 03:35:00 UTC,2049.15358,2060.65011,11.50
28,63,2020-07-31 08:25:00 UTC,2020-08-12 11:15:00 UTC,2061.85150,2073.96955,12.12
28,64,2020-08-13 15:45:00 UTC,2020-08-25 14:30:00 UTC,2075.15705,2087.10497,11.95
29,65,2020-08-26 17:45:00 UTC,2020-09-08 21:10:00 UTC,2088.24038,2101.38275,13.14
29,66,2020-09-09 19:50:00 UTC,2020-09-21 22:35:00 UTC,2102.32719,2114.44177,12.11
30,67,2020-09-23 09:15:00 UTC,2020-10-06 15:30:00 UTC,2115.88622,2129.14663,13.26
30,68,2020-10-07 17:00:00 UTC,2020-10-20 17:30:00 UTC,2130.20913,2143.22997,13.02
31,69,2020-10-22 00:20:00 UTC,2020-11-03 23:05:00 UTC,2144.51469,2157.46261,12.95
31,70,2020-11-05 08:40:00 UTC,2020-11-18 12:50:00 UTC,2158.86191,2172.03552,13.17
32,71,2020-11-19 13:45:00 UTC,2020-12-02 10:45:00 UTC,2173.07372,2185.94872,12.88
32,72,2020-12-03 10:40:00 UTC,2020-12-16 17:45:00 UTC,2186.94525,2200.24038,13.30
33,73,2020-12-18 05:35:00 UTC,2020-12-30 08:55:00 UTC,2201.73344,2213.87233,12.14
33,74,2020-12-31 22:25:00 UTC,2021-01-13 01:55:00 UTC,2215.43483,2227.58066,12.15
34,75,2021-01-14 06:00:00 UTC,2021-01-26 09:55:00 UTC,2228.75080,2240.91400,12.16
34,76,2021-01-27 11:40:00 UTC,2021-02-08 13:45:00 UTC,2241.98691,2254.07372,12.09
35,77,2021-02-09 11:45:00 UTC,2021-02-21 15:45:00 UTC,2254.99038,2267.15705,12.17
35,78,2021-02-23 02:00:00 UTC,2021-03-06 11:40:00 UTC,2268.58413,2279.98691,11.40
36,79,2021-03-07 09:40:00 UTC,2021-03-19 08:40:00 UTC,2280.90358,2292.86191,11.96
36,80,2021-03-20 07:00:00 UTC,2021-04-01 11:55:00 UTC,2293.79247,2305.99733,12.20
37,81,2021-04-02 17:45:00 UTC,2021-04-14 12:55:00 UTC,2307.24038,2319.03900,11.80
37,82,2021-04-15 12:25:00 UTC,2021-04-28 02:05:00 UTC,2320.01816,2332.58761,12.57
38,83,2021-04-29 08:30:00 UTC,2021-05-11 20:10:00 UTC,2333.85497,2346.34108,12.49
38,84,2021-05-12 19:10:00 UTC,2021-05-26 01:25:00 UTC,2347.29941,2360.55983,13.26
39,85,2021-05-27 06:30:00 UTC,2021-06-09 08:45:00 UTC,2361.77163,2374.86538,13.09
39,86,2021-06-10 08:40:00 UTC,2021-06-24 05:25:00 UTC,2375.86191,2389.72650,13.86
40,87,2021-06-25 03:40:00 UTC,2021-07-08 21:45:00 UTC,2390.65358,2404.40705,13.75
40,88,2021-07-09 19:55:00 UTC,2021-07-23 08:40:00 UTC,2405.33066,2418.86191,13.53
41,89,2021-07-24 11:45:00 UTC,2021-08-06 02:35:00 UTC,2419.99038,2432.60844,12.62
41,90,2021-08-07 05:15:00 UTC,2021-08-20 02:05:00 UTC,2433.71955,2446.58761,12.87
42,91,2021-08-21 04:35:00 UTC,2021-09-02 19:30:00 UTC,2447.69177,2460.31330,12.62
42,92,2021-09-03 17:45:00 UTC,2021-09-15 16:00:00 UTC,2461.24038,2473.16747,11.93
